0.001667,30.78704,34578944,10000000,10000000,0.051303,,0.001667,30.78704,,arrival rate,mean delay,model,,,,,arrival rate,mean service time,model values
0.005,32.643591,34578944,10000000,10000001,0.16319,,0.001667,30.79025,,0.001667,30.7890003,30.78963989,,,,,0.005,10.2630161,10.26315789
0.008333,34.9965,34578944,10000000,10000001,0.291588,,0.001667,30.788851,,0.005,32.6458679,32.64705882,,,,,0.015,10.8821629,10.88235294
0.011667,38.070218,34578944,10000000,10000001,0.444078,,0.001667,30.788745,,0.008333,34.9977939,34.99973334,,,,,0.025,11.666613,11.66666667
0.015,42.262465,34578944,10000000,10000001,0.63383,,0.001667,30.787922,,0.011667,38.0734348,38.07727811,,,,,0.035,12.6923699,12.69230769
0.018333,48.324499,34578944,10000000,10000001,0.8858,,0.001667,30.790235,,0.015,42.2672358,42.27272727,,,,,0.045,14.091163,14.09090909
0.021666,57.843521,34578944,10000000,10000001,1.253065,,0.001667,30.788192,,0.018333,48.3263225,48.33259261,,,,,0.055,16.1121989,16.11111111
0.025,74.989335,34578944,10000000,10000002,1.874418,,0.001667,30.790229,,0.021666,57.8525,57.85469402,,,,,0.065,19.2884893,19.28571429
0.028333,115.036167,34578944,10000000,10000002,3.258809,,0.001667,30.788424,,0.025,74.9996404,75,,,,,0.075,25.0023223,25
0.031666,316.433165,34578944,10000000,10000003,10.018695,,0.001667,30.790115,,0.028333,114.9650645,114.9933338,,,,,0.085,38.334237,38.33333333
0.001667,30.79025,400137271,10000000,10000000,0.051322,,0.005,32.643591,,0.031666,314.5137167,314.880048,,,,,0.095,105.1516326,105
0.005,32.650115,400137271,10000000,10000000,0.163266,,0.005,32.650115,,,,,,,,,,,
0.008333,35.003629,400137271,10000000,10000000,0.291724,,0.005,32.64249,,,,,,,,,,,
0.011667,38.082522,400137271,10000000,10000001,0.444337,,0.005,32.645455,,,,,,,,,,,
0.015,42.286083,400137271,10000000,10000001,0.634349,,0.005,32.642196,,,,,,,,,,,
0.018333,48.360374,400137271,10000000,10000001,0.886688,,0.005,32.646325,,,,,,,,,,,
0.021666,57.907409,400137271,10000000,10000001,1.254776,,0.005,32.647277,,,,,,,,,,,
0.025,75.066933,400137271,10000000,10000003,1.876845,,0.005,32.647742,,,,,,,,,,,
0.028333,115.069726,400137271,10000000,10000003,3.260608,,0.005,32.645104,,,,,,,,,,,
0.031666,316.834529,400137271,10000000,10000020,10.034,,0.005,32.648384,,,,,,,,,,,
0.001667,30.788851,1367137,10000000,10000000,0.051318,,0.008333,34.9965,,,,,,,,,,,
0.005,32.64249,1367137,10000000,10000000,0.163224,,0.008333,35.003629,,,,,,,,,,,
0.008333,34.992504,1367137,10000000,10000000,0.291624,,0.008333,34.992504,,,,,,,,,,,
0.011667,38.067027,1367137,10000000,10000000,0.444146,,0.008333,34.99687,,,,,,,,,,,
0.015,42.253851,1367137,10000000,10000001,0.633851,,0.008333,34.994711,,,,,,,,,,,
0.018333,48.303844,1367137,10000000,10000001,0.885631,,0.008333,34.999476,,,,,,,,,,,
0.021666,57.818596,1367137,10000000,10000002,1.252822,,0.008333,34.997964,,,,,,,,,,,
0.025,74.938842,1367137,10000000,10000002,1.873599,,0.008333,34.99777,,,,,,,,,,,
0.028333,115.07836,1367137,10000000,10000003,3.260777,,0.008333,34.997489,,,,,,,,,,,
0.031666,316.080796,1367137,10000000,10000024,10.009893,,0.008333,35.001026,,,,,,,,,,,
0.001667,30.788745,9750342,10000000,10000000,0.051296,,0.011667,38.070218,,,,,,,,,,,
0.005,32.645455,9750342,10000000,10000000,0.163167,,0.011667,38.082522,,,,,,,,,,,
0.008333,34.99687,9750342,10000000,10000000,0.291533,,0.011667,38.067027,,,,,,,,,,,
0.011667,38.073521,9750342,10000000,10000001,0.444028,,0.011667,38.073521,,,,,,,,,,,
0.015,42.269984,9750342,10000000,10000002,0.633817,,0.011667,38.070762,,,,,,,,,,,
0.018333,48.325709,9750342,10000000,10000002,0.885646,,0.011667,38.074741,,,,,,,,,,,
0.021666,57.856935,9750342,10000000,10000002,1.253106,,0.011667,38.073107,,,,,,,,,,,
0.025,75.030432,9750342,10000000,10000010,1.87507,,0.011667,38.072148,,,,,,,,,,,
0.028333,115.030023,9750342,10000000,10000023,3.257981,,0.011667,38.074846,,,,,,,,,,,
0.031666,312.246634,9750342,10000000,10000028,9.884155,,0.011667,38.075456,,,,,,,,,,,
0.001667,30.787922,1317178,10000000,10000000,0.051317,,0.015,42.262465,,,,,,,,,,,
0.005,32.642196,1317178,10000000,10000000,0.163222,,0.015,42.286083,,,,,,,,,,,
0.008333,34.994711,1317178,10000000,10000000,0.291642,,0.015,42.253851,,,,,,,,,,,
0.011667,38.070762,1317178,10000000,10000000,0.444188,,0.015,42.269984,,,,,,,,,,,
0.015,42.259624,1317178,10000000,10000000,0.633935,,0.015,42.259624,,,,,,,,,,,
0.018333,48.316945,1317178,10000000,10000001,0.885868,,0.015,42.2646,,,,,,,,,,,
0.021666,57.847843,1317178,10000000,10000001,1.253451,,0.015,42.270022,,,,,,,,,,,
0.025,74.988378,1317178,10000000,10000001,1.874831,,0.015,42.268017,,,,,,,,,,,
0.028333,115.016583,1317178,10000000,10000002,3.259014,,0.015,42.273318,,,,,,,,,,,
0.031666,314.865266,1317178,10000000,10000014,9.971369,,0.015,42.264394,,,,,,,,,,,
0.001667,30.790235,83539228,10000000,10000000,0.051321,,0.018333,48.324499,,,,,,,,,,,
0.005,32.646325,83539228,10000000,10000000,0.163244,,0.018333,48.360374,,,,,,,,,,,
0.008333,34.999476,83539228,10000000,10000000,0.291685,,0.018333,48.303844,,,,,,,,,,,
0.011667,38.074741,83539228,10000000,10000001,0.44424,,0.018333,48.325709,,,,,,,,,,,
0.015,42.2646,83539228,10000000,10000001,0.634018,,0.018333,48.316945,,,,,,,,,,,
0.018333,48.318651,83539228,10000000,10000001,0.88591,,0.018333,48.318651,,,,,,,,,,,
0.021666,57.837801,83539228,10000000,10000001,1.253249,,0.018333,48.329934,,,,,,,,,,,
0.025,74.997041,83539228,10000000,10000001,1.875071,,0.018333,48.327488,,,,,,,,,,,
0.028333,114.879458,83539228,10000000,10000002,3.255169,,0.018333,48.336458,,,,,,,,,,,
0.031666,312.402294,83539228,10000000,10000003,9.893501,,0.018333,48.319323,,,,,,,,,,,
0.001667,30.788192,32582424,10000000,10000000,0.051331,,0.021666,57.843521,,,,,,,,,,,
0.005,32.647277,32582424,10000000,10000000,0.163293,,0.021666,57.907409,,,,,,,,,,,
0.008333,34.997964,32582424,10000000,10000001,0.291751,,0.021666,57.818596,,,,,,,,,,,
0.011667,38.073107,32582424,10000000,10000001,0.44434,,0.021666,57.856935,,,,,,,,,,,
0.015,42.270022,32582424,10000000,10000001,0.63427,,0.021666,57.847843,,,,,,,,,,,
0.018333,48.329934,32582424,10000000,10000001,0.886356,,0.021666,57.837801,,,,,,,,,,,
0.021666,57.864535,32582424,10000000,10000002,1.254166,,0.021666,57.864535,,,,,,,,,,,
0.025,75.045436,32582424,10000000,10000002,1.876786,,0.021666,57.842979,,,,,,,,,,,
0.028333,115.022608,32582424,10000000,10000004,3.260103,,0.021666,57.861422,,,,,,,,,,,
0.031666,315.014758,32582424,10000000,10000015,9.978909,,0.021666,57.843959,,,,,,,,,,,
0.001667,30.790229,35932147,10000000,10000001,0.051307,,0.025,74.989335,,,,,,,,,,,
0.005,32.647742,35932147,10000000,10000002,0.163208,,0.025,75.066933,,,,,,,,,,,
0.008333,34.99777,35932147,10000000,10000002,0.291593,,0.025,74.938842,,,,,,,,,,,
0.011667,38.072148,35932147,10000000,10000002,0.444091,,0.025,75.030432,,,,,,,,,,,
0.015,42.268017,35932147,10000000,10000002,0.6339,,0.025,74.988378,,,,,,,,,,,
0.018333,48.327488,35932147,10000000,10000003,0.885836,,0.025,74.997041,,,,,,,,,,,
0.021666,57.842979,35932147,10000000,10000003,1.253028,,0.025,75.045436,,,,,,,,,,,
0.025,74.947268,35932147,10000000,10000004,1.873327,,0.025,74.947268,,,,,,,,,,,
0.028333,114.782092,35932147,10000000,10000006,3.251543,,0.025,75.006597,,,,,,,,,,,
0.031666,314.051035,35932147,10000000,10000021,9.943048,,0.025,74.986142,,,,,,,,,,,
0.001667,30.788424,994627257,10000000,10000000,0.051334,,0.028333,115.036167,,,,,,,,,,,
0.005,32.645104,994627257,10000000,10000000,0.163288,,0.028333,115.069726,,,,,,,,,,,
0.008333,34.997489,994627257,10000000,10000000,0.291757,,0.028333,115.07836,,,,,,,,,,,
0.011667,38.074846,994627257,10000000,10000000,0.444376,,0.028333,115.030023,,,,,,,,,,,
0.015,42.273318,994627257,10000000,10000000,0.634341,,0.028333,115.016583,,,,,,,,,,,
0.018333,48.336458,994627257,10000000,10000000,0.886506,,0.028333,114.879458,,,,,,,,,,,
0.021666,57.861422,994627257,10000000,10000000,1.254141,,0.028333,115.022608,,,,,,,,,,,
0.025,75.006597,994627257,10000000,10000000,1.875878,,0.028333,114.782092,,,,,,,,,,,
0.028333,114.952706,994627257,10000000,10000000,3.258232,,0.028333,114.952706,,,,,,,,,,,
0.031666,314.869131,994627257,10000000,10000011,9.97464,,0.028333,114.782922,,,,,,,,,,,
0.001667,30.790115,12345611,10000000,10000001,0.051302,,0.031666,316.433165,,,,,,,,,,,
0.005,32.648384,12345611,10000000,10000002,0.163194,,0.031666,316.834529,,,,,,,,,,,
0.008333,35.001026,12345611,10000000,10000002,0.29159,,0.031666,316.080796,,,,,,,,,,,
0.011667,38.075456,12345611,10000000,10000002,0.444085,,0.031666,312.246634,,,,,,,,,,,
0.015,42.264394,12345611,10000000,10000002,0.633782,,0.031666,314.865266,,,,,,,,,,,
0.018333,48.319323,12345611,10000000,10000002,0.885597,,0.031666,312.402294,,,,,,,,,,,
0.021666,57.843959,12345611,10000000,10000002,1.252921,,0.031666,315.014758,,,,,,,,,,,
0.025,74.986142,12345611,10000000,10000003,1.874108,,0.031666,314.051035,,,,,,,,,,,
0.028333,114.782922,12345611,10000000,10000003,3.251237,,0.031666,314.869131,,,,,,,,,,,
0.031666,312.339559,12345611,10000000,10000004,9.887876,,0.031666,312.339559,,,,,,,,,,,
