Seed,Arrival Rate,"(0.50,1)","(5.25,1)","(10.00,1)","(0.50,5)","(5.25,5)","(10.00,5)","(0.50,9)","(5.25,9)","(10.00,9)","(0.50,13)","(5.25,13)","(10.00,13)",,,,Seed,Arrival Rate,"(0.50,1)","(5.25,1)","(10.00,1)","(0.50,5)","(5.25,5)","(10.00,5)"
400137271,0.1,0.427719353,1.962475439,2.415326365,0,0,0,0,0,0,0,0,0,,,,400137271,0.1,0.430034829,1.96659253,2.421103659,0,0,0
400137271,5.357894737,0.449026868,4.272654602,8.130587239,0.309702636,1.376064574,2.019364061,0.232128447,0.571256015,0.65303669,0.185897931,0.346638321,0.366739469,,,,400137271,5.357894737,0.528004898,7.48244293,15.35920946,0.332557735,1.454913085,2.11522683
400137271,10.61578947,0.462662489,4.756985886,9.061932863,0.343030246,2.795576016,5.282614947,0.263091715,1.257420383,1.996306333,0.207517359,0.597998418,0.742165185,,,,400137271,10.61578947,0.632899257,11.03971657,22.20314559,0.400437449,3.706832622,7.223741351
400137271,15.87368421,0.471276327,4.917618425,9.366352243,0.370396914,3.598492022,6.84063496,0.293143667,2.287139542,4.327172152,0.235753089,1.206593608,2.020410604,,,,400137271,15.87368421,0.736947301,13.14311753,26.1920036,0.473284788,5.780973925,11.23555912
400137271,21.13157895,0.477257667,5.000169948,9.523761077,0.392442892,4.006541341,7.632094036,0.320937928,3.010769452,5.744150507,0.263069275,2.031880831,3.83792842,,,,400137271,21.13157895,0.832970972,14.64723061,29.06318208,0.549774484,7.273492278,14.11843488
400137271,26.38947368,0.481316103,5.049600434,9.618303902,0.409339503,4.252486079,8.10086466,0.344948429,3.462264617,6.59589239,0.288276167,2.662404333,5.065235658,,,,400137271,26.38947368,0.923952752,15.81425781,31.29093147,0.624645199,8.434710974,16.33391536
400137271,31.64736842,0.484106583,5.081914523,9.679816191,0.422681705,4.418535006,8.416647848,0.364339947,3.760361827,7.16043398,0.31163552,3.089846273,5.882747054,,,,400137271,31.64736842,1.005072515,16.76725555,33.10578913,0.69641738,9.389280786,18.15098656
400137271,36.90526316,0.486450668,5.105407795,9.724524496,0.433051234,4.536997658,8.641559911,0.381076154,3.971711536,7.564823954,0.332152969,3.395799731,6.467581396,,,,400137271,36.90526316,1.076913017,17.57178446,34.63314845,0.763859046,10.1975261,19.68636889
400137271,42.16315789,0.488011447,5.123028543,9.758424888,0.440832925,4.625799148,8.810881131,0.394993246,4.130024997,7.868277502,0.349654422,3.633862674,6.921710423,,,,400137271,42.16315789,1.14141809,18.26435316,35.96933541,0.824295707,10.89809589,21.02070677
400137271,47.42105263,0.489357325,5.137339236,9.785502745,0.447250475,4.69419608,8.941265669,0.40564149,4.254280705,8.1028242,0.365176627,3.812899583,7.261698055,,,,400137271,47.42105263,1.200026818,18.88440638,37.14255636,0.880113239,11.50917381,22.18473594
400137271,52.67894737,0.490433793,5.148454133,9.80646112,0.452609417,4.753935996,9.054759516,0.414970022,4.352315311,8.289920856,0.377601115,3.95774756,7.536230163,,,,400137271,52.67894737,1.251219569,19.4378611,38.19131005,0.932219796,12.07218344,23.25555722
400137271,57.93684211,0.491214402,5.157603513,9.824125417,0.456829219,4.797964294,9.139348903,0.422531372,4.433683642,8.446374891,0.388126282,4.074357948,7.760258105,,,,400137271,57.93684211,1.297545204,19.93375955,39.14246487,0.979213901,12.56695429,24.20796407
400137271,63.19473684,0.4920106,5.165455298,9.838861815,0.460354814,4.835566111,9.210604006,0.428911051,4.502243671,8.574854223,0.39729883,4.171800566,7.944974666,,,,400137271,63.19473684,1.342559712,20.39991331,40.02046648,1.023759587,13.02524712,25.07524203
400137271,68.45263158,0.49257162,5.171734177,9.850810125,0.463274732,4.867059441,9.270766088,0.434159305,4.559262624,8.683307678,0.405282398,4.255528527,8.104574012,,,,400137271,68.45263158,1.381748984,20.81456261,40.8112285,1.062070601,13.44183735,25.87079212
400137271,73.71052632,0.49315061,5.177215251,9.861371539,0.466226178,4.894347889,9.321967179,0.438893441,4.608291687,8.776386771,0.411755485,4.327113056,8.240989484,,,,400137271,73.71052632,1.419449729,21.20130506,41.55288634,1.100383747,13.83365597,26.6084796
400137271,78.96842105,0.493672385,5.181752513,9.870155024,0.468265499,4.918333505,9.368080618,0.442989076,4.651733532,8.860155428,0.417443174,4.387393462,8.357478745,,,,400137271,78.96842105,1.452802441,21.55360884,42.23183231,1.134647797,14.19987581,27.30841546
400137271,84.22631579,0.494072024,5.185927915,9.877876742,0.470139924,4.939351781,9.407643717,0.446479068,4.688815602,8.930192321,0.42289954,4.442071985,8.460961949,,,,400137271,84.22631579,1.485097559,21.89744899,42.86953336,1.165657712,14.53970787,27.95007924
400137271,89.48421053,0.494234596,5.189607244,9.884825921,0.472147386,4.957451638,9.442314389,0.449456616,4.719427918,8.989391927,0.427244321,4.489379768,8.550002825,,,,400137271,89.48421053,1.515647763,22.21099113,43.46912,1.196892482,14.85608643,28.55821645
400137271,94.74210526,0.49455549,5.193001467,9.891272492,0.473589768,4.973957523,9.47378386,0.452658978,4.749378277,9.04575095,0.43131323,4.53115542,8.630495864,,,,400137271,94.74210526,1.542727785,22.50983254,44.03232672,1.225157273,15.15547042,29.12660072
400137271,100,0.494830528,5.195771799,9.896699797,0.47514441,4.988906635,9.502234599,0.454854737,4.7755572,9.095433977,0.43505961,4.569563411,8.703189044,,,,400137271,100,1.569717936,22.78836205,44.57667504,1.252918293,15.44426358,29.67939079
400137271,0.1,0.430034829,1.96659253,2.421103659,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
400137271,5.357894737,0.528004898,7.48244293,15.35920946,0.332557735,1.454913085,2.11522683,0.240807129,0.575854211,0.656360297,0.192404888,0.348288977,0.366066012,,,,,,,,,,,
400137271,10.61578947,0.632899257,11.03971657,22.20314559,0.400437449,3.706832622,7.223741351,0.28664698,1.341787897,2.121490097,0.217771007,0.607057026,0.748700859,,,,,,,,,,,
400137271,15.87368421,0.736947301,13.14311753,26.1920036,0.473284788,5.780973925,11.23555912,0.338649013,2.848252474,5.508156422,0.257827175,1.297113024,2.171583161,,,,,,,,,,,
400137271,21.13157895,0.832970972,14.64723061,29.06318208,0.549774484,7.273492278,14.11843488,0.397271232,4.314503462,8.37427972,0.301868946,2.459602705,4.728779876,,,,,,,,,,,
400137271,26.38947368,0.923952752,15.81425781,31.29093147,0.624645199,8.434710974,16.33391536,0.45779856,5.490969677,10.61058861,0.34895852,3.602522473,6.949907097,,,,,,,,,,,
400137271,31.64736842,1.005072515,16.76725555,33.10578913,0.69641738,9.389280786,18.15098656,0.516892115,6.44675534,12.42107505,0.399552166,4.550445394,8.76360997,,,,,,,,,,,
400137271,36.90526316,1.076913017,17.57178446,34.63314845,0.763859046,10.1975261,19.68636889,0.577341901,7.250253619,13.95728506,0.450762489,5.354527486,10.30092306,,,,,,,,,,,
400137271,42.16315789,1.14141809,18.26435316,35.96933541,0.824295707,10.89809589,21.02070677,0.635262036,7.947277068,15.29514167,0.501986147,6.069003507,11.66340436,,,,,,,,,,,
400137271,47.42105263,1.200026818,18.88440638,37.14255636,0.880113239,11.50917381,22.18473594,0.687358358,8.56770477,16.46555085,0.552696756,6.687002121,12.83670437,,,,,,,,,,,
400137271,52.67894737,1.251219569,19.4378611,38.19131005,0.932219796,12.07218344,23.25555722,0.737859714,9.113024336,17.50753407,0.599366826,7.242470117,13.88947317,,,,,,,,,,,
400137271,57.93684211,1.297545204,19.93375955,39.14246487,0.979213901,12.56695429,24.20796407,0.783671597,9.611591989,18.46620245,0.643050183,7.73643907,14.83764104,,,,,,,,,,,
400137271,63.19473684,1.342559712,20.39991331,40.02046648,1.023759587,13.02524712,25.07524203,0.826774484,10.06957524,19.32308942,0.685614676,8.191646702,15.70138636,,,,,,,,,,,
400137271,68.45263158,1.381748984,20.81456261,40.8112285,1.062070601,13.44183735,25.87079212,0.865385532,10.48768796,20.11889646,0.724917768,8.613296046,16.50408497,,,,,,,,,,,
400137271,73.71052632,1.419449729,21.20130506,41.55288634,1.100383747,13.83365597,26.6084796,0.902241226,10.87483276,20.85262062,0.761092177,9.003919193,17.24952821,,,,,,,,,,,
400137271,78.96842105,1.452802441,21.55360884,42.23183231,1.134647797,14.19987581,27.30841546,0.937152627,11.23709667,21.55097466,0.794450075,9.359876689,17.93463306,,,,,,,,,,,
400137271,84.22631579,1.485097559,21.89744899,42.86953336,1.165657712,14.53970787,27.95007924,0.969570543,11.5754549,22.18983828,0.827617907,9.70445918,18.58768592,,,,,,,,,,,
400137271,89.48421053,1.515647763,22.21099113,43.46912,1.196892482,14.85608643,28.55821645,0.998758052,11.88537866,22.79103403,0.857784159,10.02231586,19.18765107,,,,,,,,,,,
400137271,94.74210526,1.542727785,22.50983254,44.03232672,1.225157273,15.15547042,29.12660072,1.027844362,12.18866165,23.35953116,0.886036484,10.31953091,19.76012426,,,,,,,,,,,
400137271,100,1.569717936,22.78836205,44.57667504,1.252918293,15.44426358,29.67939079,1.054834547,12.47088899,23.89606804,0.913569635,10.60360228,20.29848666,,,,,,,,,,,
400137271,0.1,0.079341435,0.036318273,0.023738768,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
400137271,5.357894737,0.828042842,0.813319788,0.813430706,0.269962432,0.179489136,0.153027787,0.032566612,0.010997608,0.006851716,0.001116747,0.000242939,0.000141979,,,,,,,,,,,
400137271,10.61578947,0.907620813,0.905693991,0.905769634,0.554668013,0.529862121,0.529162586,0.260870112,0.193135773,0.176528328,0.076259765,0.033706899,0.024328135,,,,,,,,,,,
400137271,15.87368421,0.937417986,0.936951525,0.936937365,0.689518476,0.685424241,0.684543147,0.456934758,0.433831472,0.432963841,0.253285694,0.201709424,0.190214443,,,,,,,,,,,
400137271,21.13157895,0.952781303,0.952680067,0.952671994,0.764897766,0.763408291,0.76344894,0.581172254,0.574367223,0.573883696,0.405951699,0.385308977,0.38396133,,,,,,,,,,,
400137271,26.38947368,0.962210691,0.962135215,0.962134932,0.811125,0.810367732,0.810399886,0.66148268,0.659489598,0.659668588,0.513923704,0.507217147,0.506686082,,,,,,,,,,,
400137271,31.64736842,0.968380587,0.968437794,0.96841911,0.842294168,0.841849108,0.841918165,0.715660361,0.716097671,0.716001607,0.591367141,0.588839197,0.588685253,,,,,,,,,,,
400137271,36.90526316,0.972914038,0.972928161,0.972907558,0.864861435,0.86438519,0.864400845,0.756507227,0.756566478,0.756551874,0.648304618,0.647194644,0.647242088,,,,,,,,,,,
400137271,42.16315789,0.976334256,0.976279728,0.976295335,0.881481908,0.881375939,0.881385615,0.787082535,0.786886193,0.786931366,0.692257555,0.691654219,0.691692475,,,,,,,,,,,
400137271,47.42105263,0.978894471,0.97891434,0.978914665,0.894604494,0.894476689,0.894465641,0.810077271,0.810516133,0.810520477,0.726334781,0.725914143,0.725928264,,,,,,,,,,,
400137271,52.67894737,0.981014491,0.981027474,0.981010462,0.904965943,0.904996204,0.905006086,0.829336623,0.829360373,0.829375067,0.753503817,0.753350231,0.753142509,,,,,,,,,,,
400137271,57.93684211,0.982733291,0.982742072,0.982744024,0.913732586,0.913639874,0.913663234,0.844680159,0.844854448,0.844887808,0.775444466,0.775481191,0.775507099,,,,,,,,,,,
400137271,63.19473684,0.984164398,0.984180593,0.984177941,0.920924779,0.920850012,0.920836729,0.857831033,0.85766538,0.857614681,0.794493053,0.794170034,0.794108173,,,,,,,,,,,
400137271,68.45263158,0.985373504,0.985393183,0.985384279,0.92702002,0.926866869,0.926879808,0.868485638,0.868610497,0.868522151,0.810229641,0.810044216,0.80995221,,,,,,,,,,,
400137271,73.71052632,0.98643426,0.986419917,0.986418676,0.932263762,0.932145049,0.93209332,0.877785059,0.877946919,0.877897737,0.823656241,0.823616278,0.82355542,,,,,,,,,,,
400137271,78.96842105,0.987321287,0.98731962,0.987320869,0.936812196,0.936683455,0.936666726,0.886158838,0.8860955,0.886030523,0.835184506,0.835195887,0.835201377,,,,,,,,,,,
400137271,84.22631579,0.988136566,0.988114013,0.988103426,0.9406447,0.940683963,0.940620661,0.893201058,0.893166711,0.893115213,0.845686466,0.845633434,0.845566467,,,,,,,,,,,
400137271,89.48421053,0.988822577,0.988817346,0.988801469,0.944185306,0.944171864,0.944134478,0.899393084,0.899325672,0.899328814,0.854751275,0.854685942,0.854605145,,,,,,,,,,,
400137271,94.74210526,0.989443516,0.989438147,0.989416886,0.947253937,0.947244698,0.9472133,0.904893173,0.904917485,0.904870389,0.862820288,0.862742192,0.862674485,,,,,,,,,,,
400137271,100,0.989997855,0.989983894,0.989979842,0.950074599,0.950036486,0.950019521,0.90988477,0.909931584,0.909868592,0.869939814,0.869885309,0.869821738,,,,,,,,,,,
