Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)"
400137271,0.0010000000,1.0097547037,1.0125652301,1.0157233529,1.0137927512,1.0224078935,1.0410278423
400137271,0.0110909091,1.1159637169,1.1438535855,1.1777280637,1.1623287510,1.2586371140,1.4634801590
400137271,0.0211818182,1.2385434113,1.2876533698,1.3550721401,1.3238471700,1.5156167769,1.9308381469
400137271,0.0312727273,1.3751382564,1.4442362773,1.5510294216,1.5009534952,1.7939603686,2.4311105054
400137271,0.0413636364,1.5282637675,1.6168950128,1.7588662675,1.7035172857,2.0983854370,2.9946294308
400137271,0.0514545455,1.7225170699,1.8158118268,1.9961292500,1.9384374589,2.4421581519,3.6074907428
400137271,0.0615454545,1.9621061682,2.0430861834,2.2540166565,2.2139134333,2.8237667895,4.3165926326
400137271,0.0716363636,2.2449911585,2.2705528665,2.5480672845,2.5372292921,3.2522801544,5.0678155773
400137271,0.0817272727,2.5923246715,2.5585603729,2.8645538850,838853.4481123699,3.7331509082,5.9006515788
400137271,0.0918181818,3.2835564765,2.8959060603,3.2258366385,1000001.0909167711,4.2797734609,6.8551321937
400137271,0.1019090909,4.1967328305,3.2534765934,3.6279725856,1000003.8077150901,4.8701550319,7.8648609488
400137271,0.1120000000,773634.7095491225,3.6811508842,4.0839376959,1000000.6066439449,5.5818986857,9.0405909157
400137271,0.1220909091,1000000.4135728009,4.2220758182,4.6007151775,1000004.9690285147,6.4112133021,10.3000857091
400137271,0.1321818182,1000001.2872921855,4.8457490885,5.1907599418,1000002.0957609050,7.3811938227,11.7982046316
400137271,0.1422727273,1000000.2446353270,5.5664543725,5.8526098411,1000003.2412751971,8.6485098995,13.4459697673
400137271,0.1523636364,1000001.5409308961,6.5789094140,6.6619406608,1000002.9617323175,10.1006573135,15.2422265913
400137271,0.1624545455,1000001.5178470275,7.9934413270,7.5388389229,1000003.1678074374,12.3402231543,17.4288745887
400137271,0.1725454545,1000001.5840433501,9.8097578651,8.6878131095,1000005.0403357779,14.8929641462,20.0673701116
400137271,0.1826363636,1000000.8046212664,13.3676581176,9.9922007104,1000006.4579670785,21.5168488472,22.7715745651
400137271,0.1927272727,1000001.0233307591,18.9247666914,11.6100543838,1000001.0356163451,201083.0392297498,26.2337552578
400137271,0.2028181818,1000000.1945809226,81.1256807509,13.9047898337,1000005.2703263666,347717.3572425908,30.0961963383
400137271,0.2129090909,1000000.3699236849,153493.6685502344,16.4005887675,1000005.0605166721,472959.5332669048,35.0805613104
400137271,0.2230000000,1000002.7567855956,260810.2352481933,20.0561087938,1000002.3919935584,583211.4719940174,40.8969182229
400137271,0.2330909091,1000002.1490320429,358518.4800313971,25.8765337146,1000007.4826227915,680994.4559275954,48.1740524358
400137271,0.2431818182,1000000.3831156052,442665.4875288723,34.5055737975,1000002.3081112728,765967.4284768371,59.1115657271
400137271,0.2532727273,1000002.8024059921,524487.6958726455,53.3780216552,1000003.3800644800,847395.2531858494,71.5308348997
400137271,0.2633636364,1000002.8561247441,600900.3461567300,129.7012988299,1000003.7927217497,926371.4385854009,89.9614427206
400137271,0.2734545455,1000001.6427030667,674270.4632450825,27770.5136785399,1000003.9814467288,994341.9473233554,119.5750157235
400137271,0.2835454545,1000002.3007985090,739639.0145427439,92077.7387246303,1000000.3567027631,1000000.3781983090,165.6861416057
400137271,0.2936363636,1000000.6888687978,801967.9748347810,158416.9919718711,1000001.4226098976,1000000.0364188991,269.8893282274
400137271,0.3037272727,1000000.4690605273,857592.6524907487,212693.9662658206,1000007.8892120480,1000000.5441315402,634.3494733054
400137271,0.3138181818,1000002.3726011338,911353.0103831942,258642.7666200222,1000002.7944980887,1000000.9726891397,19431.4394359377
400137271,0.3239090909,1000003.1859363357,957091.8027431995,316656.1801878570,1000001.4003257129,1000001.1830066930,68931.1831690835
400137271,0.3340000000,1000001.7655235562,999201.2852263135,362575.1220084653,1000005.0913285968,1000001.1111155526,111631.2506360112
400137271,0.3440909091,1000002.4327101361,1000000.9166488539,404946.2714742325,1000007.2296918961,1000000.3170369901,154474.5863254394
400137271,0.3541818182,1000003.4958429660,1000000.4224198329,443892.1719840544,1000004.3180209595,1000000.4968217041,193577.6674853904
400137271,0.3642727273,1000000.5823838353,1000000.4060839344,486173.4979999005,1000003.2616640448,1000000.6298117669,233444.3698718735
400137271,0.3743636364,1000001.2497363599,1000000.4459305307,525644.6273491303,1000000.4228474948,1000000.0896039814,276835.8572308560
400137271,0.3844545455,1000000.7076716229,1000001.1153957081,556779.0381272329,1000008.4871175861,1000000.2283288967,309279.1503356169
400137271,0.3945454545,1000002.8933376353,1000000.7232841303,591053.2818519484,1000001.5839224883,1000001.2615230914,345843.4277941387
400137271,0.4046363636,1000000.3358188953,1000000.1824817562,624116.5966115223,1000006.9814358595,1000000.6001963627,376388.0500978223
400137271,0.4147272727,1000000.9486571065,1000000.8958038202,654066.4733071033,1000005.8010716391,1000001.2860170553,404184.7846206687
400137271,0.4248181818,1000000.4793276814,1000001.1482058614,677581.6213437369,1000005.3128074203,1000001.0683951342,431687.7880688541
400137271,0.4349090909,1000000.5832341010,1000001.1271494842,713536.6580699490,1000007.6447669840,1000001.2305679932,459846.8562746326
400137271,0.4450000000,1000003.3713183361,1000001.1090712292,732762.5759400331,1000007.0266040057,1000000.7881765690,486286.2708278386
400137271,0.4550909091,1000001.3207739578,1000001.2045796288,759949.9801954136,1000009.0128940290,1000000.8946033171,508921.1866583105
400137271,0.4651818182,1000003.7791882248,1000000.6002275768,786904.8970545575,1000003.7400376629,1000001.7049212593,536865.6184569808
400137271,0.4752727273,1000002.1408978566,1000000.1713873728,805473.2461487262,1000002.0383463773,1000000.5331647508,555007.3858178650
400137271,0.4853636364,1000001.6054185416,1000000.1462780668,828982.4985813802,1000000.0050386890,1000001.3348564097,573562.8253376300
400137271,0.4954545455,1000002.4149237792,1000001.2139574290,851233.8713336906,1000003.0915341451,1000001.6636430038,602282.7203137492
400137271,0.5055454545,1000002.6271145161,1000001.5157084642,872144.2296589274,1000003.7545763492,1000000.9503514518,621882.9882910028
400137271,0.5156363636,1000003.5750147048,1000000.4347055540,893385.3591610040,1000008.2135138171,1000000.9118289982,638350.6521626884
400137271,0.5257272727,1000001.4219699106,1000000.7756255181,909059.5264620344,1000002.5054987046,1000001.4569761202,653242.0422292200
400137271,0.5358181818,1000000.4053034999,1000000.3469713997,926805.1524537244,1000005.8557526894,1000000.7135431799,675783.3296936596
400137271,0.5459090909,1000001.6669956750,1000001.1388624881,939732.8688985363,1000008.8418335161,1000001.1873394257,695479.8739802286
400137271,0.5560000000,1000003.8288088640,1000000.4313139393,957077.0850118388,1000006.3203403279,1000000.3224883605,708327.5324601363
400137271,0.5660909091,1000004.1203128536,1000000.6288576833,977905.9601911518,1000000.1117449295,1000001.5539785944,725587.9998359405
400137271,0.5761818182,1000000.1429555432,1000000.2343010779,991726.1727220501,1000004.0749529704,1000001.6563897524,740964.4158007418
400137271,0.5862727273,1000001.2542539714,1000000.2912905306,1000000.4012104629,1000006.0556288530,1000000.6813987815,749476.5489013423
400137271,0.5963636364,1000003.5356487505,1000000.9109436517,1000000.5578859688,1000004.6967661529,1000001.3290266099,770568.6018598136
400137271,0.6064545455,1000004.1511918535,1000000.8172193639,1000000.3563799979,1000001.1273106281,1000001.2156455817,785098.3814984469
400137271,0.6165454545,1000003.5139836411,1000001.3306639643,1000000.7399363667,1000002.0872005370,1000001.0332601620,799052.4905694948
400137271,0.6266363636,1000002.0688764105,1000001.6747453379,1000000.7992777351,1000005.7459341950,1000001.9590039421,810112.5054614703
400137271,0.6367272727,1000001.8628520527,1000000.5611809255,1000000.3104640638,1000001.4183755054,1000001.8867080798,820066.1673668728
400137271,0.6468181818,1000001.3361175610,1000001.2023477658,1000000.9382625126,1000001.8615567090,1000000.4532580157,833403.6917677234
400137271,0.6569090909,1000000.7032632112,1000000.8950477460,1000000.7455429088,1000007.8279110962,1000002.0380292616,849209.0530094735
400137271,0.6670000000,1000000.9235679478,1000001.4889200963,1000000.9315658718,1000000.8708747686,1000001.2757183939,861406.2350164731
400137271,0.6770909091,1000001.4616176188,1000000.9090375907,1000000.6167567649,1000008.1462175688,1000000.9197468593,869128.2329124516
400137271,0.6871818182,1000000.6688276348,1000000.2006757716,1000000.3964462255,1000004.9335884573,1000001.2517571619,883793.2487430349
400137271,0.6972727273,1000001.1700599334,1000001.0258070750,1000001.0064199057,1000002.9916959228,1000000.8068343552,886291.8771407977
400137271,0.7073636364,1000000.1454113293,1000000.2396407840,1000000.7974914620,1000000.9716213671,1000000.5995125258,903626.5498581277
400137271,0.7174545455,1000001.1400661746,1000000.5419423608,1000000.2414259430,1000006.0720459641,1000000.8342008680,908515.7028373395
400137271,0.7275454545,1000004.2635760226,1000000.3829833115,1000000.0028598404,1000002.2832631546,1000001.4432775069,918920.5825394003
400137271,0.7376363636,1000002.3347847452,1000001.3588226882,1000000.3066081355,1000006.5449653305,1000001.2532135680,930749.2611969457
400137271,0.7477272727,1000003.3050877743,1000001.7677193908,1000000.8029000593,1000003.4288679905,1000001.8521082840,938923.9882608274
400137271,0.7578181818,1000001.9546721327,1000001.1160325928,1000000.9713258978,1000003.0067258924,1000000.2470112038,947351.3056815703
400137271,0.7679090909,1000002.2086272578,1000000.2400451003,1000000.9213834238,1000002.5317237228,1000000.1688085158,957589.9382941431
400137271,0.7780000000,1000000.4749650758,1000000.8823196316,1000000.9435305162,1000005.5335076492,1000000.7813107570,964494.6675077428
400137271,0.7880909091,1000003.6594724981,1000001.7809661025,1000000.1438698701,1000003.4675488296,1000000.2192436708,971097.9157039151
400137271,0.7981818182,1000000.9585410594,1000000.9906797492,1000000.8653917928,1000003.6314087883,1000000.1104093811,980858.5622974850
400137271,0.8082727273,1000003.4521519655,1000000.4434053068,1000000.3592645979,1000000.6983861807,1000001.1974582584,991026.5848067263
400137271,0.8183636364,1000000.6305470653,1000000.5674334315,1000001.0802004522,1000000.2930412577,1000001.6624751764,996528.4365829021
400137271,0.8284545455,1000004.4714291620,1000000.4585066384,1000000.1671469732,1000007.7505156080,1000001.6158175860,1000000.0881008299
400137271,0.8385454545,1000000.0088338243,1000000.6060839533,1000000.9656740243,1000008.3112200601,1000001.0387824968,1000000.4782724736
400137271,0.8486363636,1000003.5486641617,1000000.1533869042,1000001.0268260778,1000004.4401150906,1000001.8071279465,1000000.5822820597
400137271,0.8587272727,1000002.1130781091,1000001.8694461706,1000000.3572345936,1000004.9291235924,1000001.7546899660,1000000.2347458533
400137271,0.8688181818,1000004.2796192548,1000001.7368929109,1000000.9235235779,1000001.1873923342,1000000.7540216843,1000000.8139990913
400137271,0.8789090909,1000003.0211557276,1000000.5739468335,1000000.0905055120,1000003.3814469321,1000000.4794299772,1000000.0132112815
400137271,0.8890000000,1000001.6989758167,1000001.8586672759,1000000.1459559989,1000002.8871389694,1000001.9097536467,1000001.0492950389
400137271,0.8990909091,1000000.8577641367,1000000.5413995871,1000000.2523010649,1000004.3314240164,1000001.1387350219,1000000.1821347161
400137271,0.9091818182,1000003.7470911223,1000000.0484978801,1000000.5859025120,1000000.7403879847,1000001.5573761095,1000000.2952134745
400137271,0.9192727273,1000004.5656192241,1000000.2483737516,1000000.5841419386,1000008.6555579054,1000001.2731511750,1000000.7246762007
400137271,0.9293636364,1000003.4041749457,1000001.2397008429,1000000.3707259793,1000009.1658377508,1000001.5389693567,1000000.6449239445
400137271,0.9394545455,1000004.1100155339,1000000.1640070587,1000000.6986645231,1000009.2628624450,1000001.4776480726,1000000.2174030705
400137271,0.9495454545,1000001.1881670282,1000001.2728547715,1000000.0773422474,1000001.1416938569,1000002.1908263338,1000000.2921462953
400137271,0.9596363636,1000002.6533509670,1000000.9672718551,1000000.8664031490,1000007.1781430298,1000000.7892023324,1000000.4061317662
400137271,0.9697272727,1000004.7394265800,1000000.8363827640,1000001.2499222961,1000009.4866643189,1000001.6642866342,1000000.8774713111
400137271,0.9798181818,1000004.4373295027,1000000.5925639819,1000000.1116565792,1000001.8677242032,1000001.3720068292,1000000.6074476984
400137271,0.9899090909,1000004.5586142185,1000000.1175787827,1000000.6707418736,1000003.1575353012,1000001.6042717510,1000000.1983045040
400137271,1.0000000000,1000002.9613184053,1000001.4467633421,1000001.2158069129,1000008.3278495430,1000000.8091779571,1000000.1503586321

