Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)",,Seed,arrival rate,"(3,5)","(5,5)","(7,5)","(5,10)","(10,10)","(20,10)"
400137271,0.001,0.001001469,0.001001392,0.001001367,0.001001568,0.001001484,0.00100145,,400137271,0.001,0.001000515,0.001000505,0.001000487,0.001000537,0.001000534,0.001000524
400137271,0.016141414,0.016398609,0.016386055,0.016366618,0.016416875,0.016398585,0.016392758,,400137271,0.016141414,0.016139855,0.0161466,0.016132773,0.016145406,0.01613918,0.016143582
400137271,0.031282828,0.032299513,0.032254857,0.032200732,0.032326922,0.032297997,0.032255037,,400137271,0.031282828,0.031280942,0.031315943,0.03129849,0.031273747,0.031303849,0.031297338
400137271,0.046424242,0.048728881,0.048514533,0.048464794,0.048751792,0.04868959,0.048647925,,400137271,0.046424242,0.046436497,0.046411623,0.046448154,0.046374673,0.046468933,0.04648036
400137271,0.061565657,0.065769195,0.065288745,0.065250236,0.065954928,0.065636035,0.065558085,,400137271,0.061565657,0.06158026,0.061520897,0.061579076,0.061590674,0.061563891,0.061647535
400137271,0.076707071,0.083334924,0.082870883,0.0826201,0.083648548,0.083048986,0.082988809,,400137271,0.076707071,0.076630591,0.07674907,0.07675074,0.076715817,0.076607166,0.076736971
400137271,0.091848485,0.101705835,0.1009328,0.100628712,0.102305418,0.101485306,0.101120667,,400137271,0.091848485,0.09181398,0.091907066,0.091949674,0.091895496,0.091869757,0.091849806
400137271,0.106989899,0.120855587,0.119203002,0.119279132,0.12179088,0.120595479,0.120055175,,400137271,0.106989899,0.106973621,0.106810238,0.107176061,0.107193486,0.107094693,0.107091149
400137271,0.122131313,0.141132595,0.139231341,0.138238154,0.141632285,0.140069758,0.139338144,,400137271,0.122131313,0.122242466,0.122268216,0.12203033,0.122201723,0.122170977,0.122171251
400137271,0.137272727,0.161908377,0.159357303,0.158314446,0.162879377,0.160705865,0.159834339,,400137271,0.137272727,0.137206652,0.137321347,0.137201948,0.137360884,0.137221151,0.137258594
400137271,0.152414141,0.184214047,0.180696148,0.178961586,0.185421313,0.182407696,0.181116104,,400137271,0.152414141,0.15253851,0.152393993,0.152227409,0.152534808,0.152395911,0.152459638
400137271,0.167555556,0.207591334,0.202574967,0.201043568,0.208620525,0.204908882,0.20330528,,400137271,0.167555556,0.167629609,0.167401972,0.167532817,0.167530355,0.167512407,0.167618747
400137271,0.18269697,0.232725774,0.225830182,0.223385612,0.233997816,0.22856224,0.226382638,,400137271,0.18269697,0.182887762,0.182530778,0.182535604,0.182669368,0.18265749,0.182835441
400137271,0.197838384,0.258433839,0.250556538,0.247891806,0.260539351,0.253768135,0.251144282,,400137271,0.197838384,0.197740241,0.197658873,0.197925352,0.197647516,0.197762259,0.197976192
400137271,0.212979798,0.287154437,0.27645398,0.27286987,0.289890708,0.281040414,0.276327677,,400137271,0.212979798,0.212877766,0.212733001,0.212958641,0.212817554,0.213026246,0.212888583
400137271,0.228121212,0.317794484,0.304193474,0.29923008,0.321907131,0.309769888,0.303276675,,400137271,0.228121212,0.227946597,0.227926353,0.228112392,0.228107987,0.228153799,0.2278263
400137271,0.243262626,0.351764818,0.333589527,0.326967348,0.357557192,0.341554561,0.332559956,,400137271,0.243262626,0.243115856,0.242914783,0.243149199,0.243609222,0.243461492,0.243314061
400137271,0.25840404,0.388645102,0.366905358,0.356689118,0.395975883,0.374649109,0.362589819,,400137271,0.25840404,0.258130466,0.258522602,0.258170299,0.258366517,0.258500993,0.258437825
400137271,0.273545455,0.431666808,0.400520279,0.388033395,0.440151947,0.409920742,0.394709866,,400137271,0.273545455,0.273402895,0.273557376,0.273265648,0.273509297,0.273282863,0.273668864
400137271,0.288686869,0.477712623,0.436236642,0.422562951,0.490852825,0.449177522,0.428643355,,400137271,0.288686869,0.288165108,0.288405856,0.288500316,0.288235765,0.288692311,0.288716966
400137271,0.303828283,0.53679743,0.478071907,0.458613065,0.570892295,0.495211952,0.465935797,,400137271,0.303828283,0.303608667,0.303905879,0.30363904,0.303795227,0.304075167,0.303950728
400137271,0.318969697,0.604550154,0.523983091,0.499148281,1.712263976,0.544255644,0.504487949,,400137271,0.318969697,0.319094551,0.318505003,0.319054882,0.292379627,0.318510797,0.319250101
400137271,0.334111111,0.693761721,0.574939859,0.543275398,1.775182522,0.603751552,0.546185256,,400137271,0.334111111,0.333824163,0.333730868,0.33410641,0.290857657,0.334197523,0.334239793
400137271,0.349252525,0.892428541,0.635655298,0.590845926,1.775051021,0.673159437,0.589582502,,400137271,0.349252525,0.349871406,0.348657516,0.349519286,0.291456533,0.348839509,0.349433577
400137271,0.364393939,1.372241391,0.708986628,0.640814064,1.777389301,0.774055025,0.635524483,,400137271,0.364393939,0.350220608,0.363797807,0.364212716,0.291244665,0.364142778,0.364222459
400137271,0.379535354,1.374677157,0.809571447,0.701580813,1.777285754,0.963964118,0.681109675,,400137271,0.379535354,0.349665262,0.379151659,0.379702471,0.290909699,0.379619696,0.378984427
400137271,0.394676768,1.375245209,0.99250586,0.768899024,1.77743322,1.212050692,0.735259499,,400137271,0.394676768,0.35027216,0.395097814,0.394123065,0.291028871,0.379944977,0.394550523
400137271,0.409818182,1.375054685,1.10027593,0.851315742,1.777252968,1.213586738,0.78576595,,400137271,0.409818182,0.350069918,0.396858366,0.409677972,0.290960292,0.379944241,0.409676431
400137271,0.424959596,1.375168477,1.101194863,0.958599093,1.777293606,1.213864454,0.838167816,,400137271,0.424959596,0.349792014,0.397466218,0.423347225,0.291050903,0.380050581,0.424602251
400137271,0.44010101,1.374889106,1.100889106,0.959147956,1.77717213,1.214341251,0.877853999,,400137271,0.44010101,0.349746218,0.397178954,0.42325036,0.291076913,0.380536202,0.435585622
400137271,0.455242424,1.375285368,1.101266219,0.95952243,1.777186524,1.213788197,0.879738287,,400137271,0.455242424,0.349978692,0.397133905,0.423750883,0.290941555,0.379962942,0.435921655
400137271,0.470383838,1.375089729,1.101381725,0.959092731,1.776917594,1.214116629,0.880298317,,400137271,0.470383838,0.349756949,0.397769552,0.423271191,0.290754922,0.380377486,0.436467771
400137271,0.485525253,1.375352011,1.101084842,0.959227821,1.776929671,1.213790656,0.879901341,,400137271,0.485525253,0.350049544,0.397099,0.423354538,0.290656309,0.379987977,0.435902661
400137271,0.500666667,1.375104332,1.101020872,0.959679654,1.777309472,1.21379913,0.880548174,,400137271,0.500666667,0.349936719,0.397312068,0.423759308,0.291164935,0.380225244,0.436272378
400137271,0.515808081,1.375152147,1.101259389,0.960121654,1.777370437,1.21373832,0.881104731,,400137271,0.515808081,0.349853802,0.397410472,0.424273338,0.291160595,0.380273618,0.436896849
400137271,0.530949495,1.375567325,1.101397775,0.95902045,1.777516884,1.214816186,0.880068244,,400137271,0.530949495,0.350394719,0.397746475,0.423227338,0.291088289,0.380704955,0.436003272
400137271,0.546090909,1.375270045,1.100975077,0.960025423,1.777435112,1.21429842,0.880007839,,400137271,0.546090909,0.350240752,0.397162542,0.424077335,0.291116882,0.380527192,0.435852857
400137271,0.561232323,1.37493484,1.101402707,0.958860644,1.77756386,1.21446402,0.879599634,,400137271,0.561232323,0.349611021,0.397269082,0.423390372,0.291077669,0.380301645,0.435650464
400137271,0.576373737,1.375659476,1.1015241,0.958836289,1.776978285,1.214671284,0.880703336,,400137271,0.576373737,0.35048917,0.397414499,0.4235195,0.29080348,0.380786873,0.436462136
400137271,0.591515152,1.375051174,1.101345432,0.959959679,1.77688999,1.214120121,0.880350703,,400137271,0.591515152,0.349862916,0.397385021,0.424227257,0.290959539,0.380213005,0.436037789
400137271,0.606656566,1.375162992,1.10132558,0.958937296,1.777391976,1.213831912,0.878976811,,400137271,0.606656566,0.349760193,0.397429482,0.423306463,0.291052947,0.379993279,0.434822327
400137271,0.62179798,1.375546046,1.101037728,0.958963164,1.777433289,1.214041984,0.879881754,,400137271,0.62179798,0.350504206,0.397224978,0.423038141,0.291182963,0.38022259,0.435959261
400137271,0.636939394,1.375596273,1.101553594,0.959556299,1.776870044,1.213887591,0.880066512,,400137271,0.636939394,0.350065293,0.397390014,0.423673971,0.290463992,0.379996078,0.436067657
400137271,0.652080808,1.375142747,1.101289231,0.959312099,1.777518178,1.214946593,0.880277679,,400137271,0.652080808,0.350200217,0.397294357,0.423745388,0.291018219,0.380591008,0.436356069
400137271,0.667222222,1.37538631,1.100853766,0.959247749,1.776998455,1.213974913,0.880324682,,400137271,0.667222222,0.349927976,0.397054612,0.423176004,0.290889324,0.380029956,0.436617444
400137271,0.682363636,1.375417309,1.101412351,0.959204654,1.776998844,1.214447039,0.879736138,,400137271,0.682363636,0.349918859,0.39734379,0.423877298,0.290645173,0.380447748,0.435553692
400137271,0.697505051,1.375550979,1.101208659,0.959291999,1.777610617,1.214373384,0.880665761,,400137271,0.697505051,0.350301333,0.397071337,0.423783121,0.291205292,0.380253854,0.436506249
400137271,0.712646465,1.375649055,1.101103279,0.959440669,1.777584792,1.213800571,0.879984615,,400137271,0.712646465,0.350281075,0.397094335,0.423896175,0.290697651,0.380002264,0.43605214
400137271,0.727787879,1.375539204,1.101282195,0.95858419,1.777423829,1.213762268,0.880005895,,400137271,0.727787879,0.350239117,0.397433187,0.422807171,0.291003993,0.380089037,0.436587307
400137271,0.742929293,1.375640787,1.101225002,0.959545495,1.777842677,1.214239959,0.879893815,,400137271,0.742929293,0.350430271,0.397447688,0.423523342,0.291112168,0.380358449,0.436139627
400137271,0.758070707,1.37556102,1.101497546,0.95913472,1.777618493,1.214056065,0.879501748,,400137271,0.758070707,0.350336372,0.397887398,0.423143128,0.290732151,0.380272733,0.435749603
400137271,0.773212121,1.37545233,1.101429261,0.959625497,1.776853393,1.21384613,0.880395106,,400137271,0.773212121,0.350530625,0.397468474,0.423982519,0.290391678,0.379932314,0.436647391
400137271,0.788353535,1.375251078,1.101447569,0.959366255,1.777547935,1.213805732,0.879846002,,400137271,0.788353535,0.350144254,0.397567762,0.423567806,0.291082231,0.379890062,0.435747667
400137271,0.80349495,1.37508189,1.101643314,0.959540532,1.777460765,1.213663777,0.880362958,,400137271,0.80349495,0.349840265,0.397585174,0.424098065,0.29118823,0.379675709,0.436467577
400137271,0.818636364,1.374995778,1.100988924,0.959771334,1.777048656,1.214644214,0.880634382,,400137271,0.818636364,0.349620734,0.397193758,0.42458515,0.290797539,0.380378217,0.436238795
400137271,0.833777778,1.375526361,1.100966613,0.959424767,1.777677006,1.213999819,0.879712452,,400137271,0.833777778,0.350397202,0.397197459,0.423583727,0.290633854,0.380059561,0.436012773
400137271,0.848919192,1.375117393,1.101561085,0.959000306,1.777275284,1.214642318,0.880207209,,400137271,0.848919192,0.350160427,0.397607587,0.423249081,0.291131518,0.380727163,0.436178435
400137271,0.864060606,1.375150316,1.100787724,0.959606554,1.777037686,1.214071248,0.879727058,,400137271,0.864060606,0.349828701,0.396859169,0.423470107,0.290790845,0.380268211,0.435730624
400137271,0.87920202,1.375959732,1.101168552,0.959737659,1.777285937,1.214396541,0.879660809,,400137271,0.87920202,0.350536615,0.397038693,0.423916887,0.291054967,0.380321816,0.435339012
400137271,0.894343434,1.375405254,1.100917432,0.959075546,1.777442269,1.214495653,0.879385926,,400137271,0.894343434,0.35025949,0.396939991,0.422965502,0.290852325,0.38046877,0.435429887
400137271,0.909484849,1.375439821,1.101493678,0.959434025,1.77755727,1.214141688,0.879349214,,400137271,0.909484849,0.34976592,0.397713703,0.423841931,0.290979004,0.380026925,0.435342298
400137271,0.924626263,1.375435322,1.100960853,0.95906641,1.777215972,1.214015628,0.879604581,,400137271,0.924626263,0.350102206,0.397302568,0.423449256,0.291253286,0.379805271,0.435632849
400137271,0.939767677,1.375928033,1.101258928,0.959487144,1.777297458,1.21424396,0.880425784,,400137271,0.939767677,0.350566495,0.397448954,0.423899291,0.291110732,0.380439151,0.436206769
400137271,0.954909091,1.375775088,1.101093503,0.959677003,1.777494921,1.214435246,0.880080291,,400137271,0.954909091,0.350148278,0.397002341,0.42391762,0.291150929,0.380585717,0.436034298
400137271,0.970050505,1.375206776,1.100963155,0.959991035,1.777639509,1.213867526,0.87982623,,400137271,0.970050505,0.350120696,0.396946928,0.424342753,0.291207645,0.380231148,0.43596372
400137271,0.985191919,1.375638299,1.100861974,0.959565521,1.777651112,1.214554806,0.879703312,,400137271,0.985191919,0.350117553,0.396714543,0.423908822,0.290992116,0.380688836,0.435673115
400137271,1.000333333,1.3756942,1.101245715,0.958987611,1.777723467,1.214486369,0.879695828,,400137271,1.000333333,0.350378001,0.397371708,0.423366238,0.291014707,0.380387484,0.435635752
400137271,1.015474748,1.375727811,1.101216082,0.959349752,1.776718968,1.214441722,0.880501072,,400137271,1.015474748,0.350143034,0.397232149,0.423635709,0.290781798,0.380211956,0.436135164
400137271,1.030616162,1.375644375,1.101153556,0.959229142,1.776930087,1.214109118,0.880191138,,400137271,1.030616162,0.350312748,0.397488814,0.423446696,0.290445159,0.379813625,0.435971281
400137271,1.045757576,1.375500224,1.101114981,0.958946509,1.777200566,1.214355599,0.880481923,,400137271,1.045757576,0.350538466,0.39717464,0.423512831,0.290996555,0.380412553,0.436542789
400137271,1.06089899,1.375875257,1.100781107,0.959302878,1.777239071,1.21385522,0.879963406,,400137271,1.06089899,0.350105124,0.397011061,0.42367879,0.290914379,0.380215691,0.436015488
400137271,1.076040404,1.375124657,1.100921828,0.959695406,1.777752803,1.214176011,0.880304446,,400137271,1.076040404,0.350177751,0.397122602,0.42411517,0.291284034,0.380040881,0.436380153
400137271,1.091181818,1.375191118,1.100837459,0.959143293,1.777671034,1.214237103,0.880519916,,400137271,1.091181818,0.349815002,0.397303664,0.423482523,0.291229798,0.380293689,0.436393944
400137271,1.106323232,1.37533636,1.101335537,0.958578011,1.777288792,1.214618645,0.8798238,,400137271,1.106323232,0.350122339,0.397664283,0.423040566,0.290883167,0.380616983,0.435781562
400137271,1.121464647,1.37561577,1.100497284,0.959678254,1.777278252,1.214730429,0.880193604,,400137271,1.121464647,0.350039125,0.396558832,0.423702619,0.290790548,0.381068496,0.43643338
400137271,1.136606061,1.375535744,1.10081833,0.959479772,1.777655309,1.214339872,0.880110097,,400137271,1.136606061,0.35017642,0.396768304,0.423962102,0.29116649,0.380135373,0.436171502
400137271,1.151747475,1.375896567,1.101963599,0.959426014,1.777404868,1.214072585,0.879900113,,400137271,1.151747475,0.350249476,0.397809027,0.423403997,0.290503537,0.380303416,0.43560594
400137271,1.166888889,1.37539742,1.101308392,0.959116013,1.777825689,1.214001471,0.88029593,,400137271,1.166888889,0.350662183,0.397132529,0.423509198,0.291187423,0.380166773,0.436479872
400137271,1.182030303,1.375343393,1.101174699,0.959996746,1.777260972,1.214062881,0.87966811,,400137271,1.182030303,0.350321748,0.397200009,0.424366224,0.290870972,0.380481943,0.435828474
400137271,1.197171717,1.375554575,1.100859436,0.959023436,1.777150981,1.213893483,0.879452382,,400137271,1.197171717,0.350229807,0.396799555,0.423312436,0.290916726,0.379911092,0.435662458
400137271,1.212313131,1.37518045,1.101513873,0.959422088,1.777267798,1.214059408,0.879968896,,400137271,1.212313131,0.349899089,0.397351806,0.42383539,0.290515681,0.37998269,0.435515728
400137271,1.227454546,1.375077069,1.101765015,0.959177509,1.776816632,1.214349988,0.880223755,,400137271,1.227454546,0.349995512,0.397377199,0.423042957,0.291249175,0.380308325,0.436094486
400137271,1.24259596,1.375619893,1.101628086,0.958834091,1.777540433,1.214171396,0.880165614,,400137271,1.24259596,0.350365487,0.397958286,0.423398536,0.291507795,0.379928205,0.436353058
400137271,1.257737374,1.375055734,1.101028692,0.959594354,1.777508606,1.214054431,0.880185259,,400137271,1.257737374,0.349996277,0.397004173,0.424083931,0.291171789,0.380335242,0.436205075
400137271,1.272878788,1.375121948,1.101291034,0.958749945,1.776989377,1.213739726,0.87978909,,400137271,1.272878788,0.349918294,0.397774307,0.422988515,0.290691519,0.380254655,0.435821636
400137271,1.288020202,1.375534936,1.10169069,0.959142887,1.777441215,1.214095699,0.879671981,,400137271,1.288020202,0.350238781,0.397370161,0.423787788,0.290825621,0.380180762,0.435623567
400137271,1.303161616,1.375029527,1.101640943,0.95946411,1.777429334,1.214181082,0.879831841,,400137271,1.303161616,0.349811511,0.397700621,0.423603252,0.291104144,0.380540217,0.435826686
400137271,1.31830303,1.375349772,1.101527984,0.959090437,1.776662171,1.213997739,0.879591183,,400137271,1.31830303,0.350280155,0.397562247,0.423071583,0.290319902,0.380164535,0.435810941
400137271,1.333444444,1.37557031,1.101015858,0.960193492,1.777654833,1.213869758,0.880035611,,400137271,1.333444444,0.350112323,0.396922076,0.424510636,0.29124129,0.380307781,0.436197984
400137271,1.348585859,1.37517439,1.101291734,0.959324085,1.777033528,1.214273928,0.88008429,,400137271,1.348585859,0.349857402,0.397366696,0.423436261,0.290727986,0.380515329,0.435920152
400137271,1.363727273,1.375622098,1.101818534,0.959293775,1.777228441,1.214125407,0.880669535,,400137271,1.363727273,0.350208355,0.397908763,0.423302352,0.291316628,0.380832296,0.436775502
400137271,1.378868687,1.375496649,1.101466741,0.958658132,1.777104388,1.214333119,0.880709808,,400137271,1.378868687,0.350558508,0.397289626,0.423108758,0.290705421,0.380841396,0.436630357
400137271,1.394010101,1.375558425,1.101600719,0.959490491,1.777015524,1.213871913,0.879777971,,400137271,1.394010101,0.350359142,0.397413283,0.423462706,0.290660837,0.379787555,0.436053662
400137271,1.409151515,1.375050937,1.100859655,0.958479265,1.777658424,1.214196775,0.880494049,,400137271,1.409151515,0.349784553,0.39682929,0.423018985,0.291202927,0.380333376,0.436605802
400137271,1.424292929,1.375253758,1.10159894,0.959131773,1.777738611,1.21445813,0.880597085,,400137271,1.424292929,0.350171756,0.397231471,0.423275739,0.290992329,0.380461741,0.436625177
400137271,1.439434343,1.375700495,1.101400389,0.959252047,1.777353699,1.214108299,0.879530285,,400137271,1.439434343,0.350235755,0.397450897,0.423789987,0.290888035,0.380451867,0.435819589
400137271,1.454575758,1.375231235,1.101656904,0.959215063,1.777782331,1.214297272,0.879615065,,400137271,1.454575758,0.349975679,0.397660048,0.423439582,0.291447748,0.380026186,0.435893411
400137271,1.469717172,1.375561068,1.101556033,0.959685095,1.77773479,1.214419273,0.88057258,,400137271,1.469717172,0.350450459,0.397458677,0.423648428,0.291298392,0.38053162,0.436454509
400137271,1.484858586,1.375241377,1.101673952,0.959772517,1.77767466,1.213359692,0.880446694,,400137271,1.484858586,0.35028174,0.397608888,0.423892949,0.290740734,0.3799275,0.436217882
400137271,1.5,1.375093659,1.100416239,0.959049615,1.777412571,1.213922792,0.879773466,,400137271,1.5,0.34990715,0.396712528,0.423085322,0.291244057,0.380190278,0.435502722
