Seed,arrival rate,"(BEB,5,0.50,0.50)","(BEB,5,0.50,1.00)","(BEB,5,0.50,1.50)","(BEB,5,2.00,0.50)","(BEB,5,2.00,1.00)","(BEB,5,2.00,1.50)","(BEB,5,3.50,0.50)","(BEB,5,3.50,1.00)","(BEB,5,3.50,1.50)","(BEB,10,0.50,0.50)","(BEB,10,0.50,1.00)","(BEB,10,0.50,1.50)","(BEB,10,2.00,0.50)","(BEB,10,2.00,1.00)","(BEB,10,2.00,1.50)","(BEB,10,3.50,0.50)","(BEB,10,3.50,1.00)","(BEB,10,3.50,1.50)"
400137271,0.0010000000,0.8803161451,1.0763321758,1.4124939431,0.9348697223,1.1666054807,1.5935610738,0.9996568850,1.2761830683,1.8445996993,0.8804664109,1.0841611327,1.4438875183,0.9388455742,1.1751861590,1.6168672103,1.0051212168,1.2914302737,1.8371121750
400137271,0.0312929293,0.8975556107,1.1054052206,1.4644019076,0.9553371068,1.1962075157,1.6694375302,1.0236047278,1.3092337583,1.9264450345,0.8991575860,1.1125986000,1.4771327989,0.9605663106,1.2088351687,1.7024748522,1.0303045021,1.3253506207,1.9582105901
400137271,0.0615858586,0.9160826461,1.1337753107,1.5392191123,0.9766964779,1.2330853286,1.7224213540,1.0478121724,1.3634761162,2.0593440342,0.9184886407,1.1427918794,1.5453507358,0.9829445239,1.2463527484,1.8656557633,1.0578946474,1.3760914222,2.3436637089
400137271,0.0918787879,0.9348697223,1.1666054807,1.5935610738,0.9996568850,1.2761830683,1.8445996993,1.0763321758,1.4124939431,2.3184859064,0.9388455742,1.1751861590,1.6168672103,1.0051212168,1.2914302737,1.8371121750,1.0841611327,1.4438875183,2.2463832587
400137271,0.1221717172,0.9553371068,1.1962075157,1.6694375302,1.0236047278,1.3092337583,1.9264450345,1.1054052206,1.4644019076,2.4349588640,0.9605663106,1.2088351687,1.7024748522,1.0303045021,1.3253506207,1.9582105901,1.1125986000,1.4771327989,2.4841034888
400137271,0.1524646465,0.9766964779,1.2330853286,1.7224213540,1.0478121724,1.3634761162,2.0593440342,1.1337753107,1.5392191123,2.5811234874,0.9829445239,1.2463527484,1.8656557633,1.0578946474,1.3760914222,2.3436637089,1.1427918794,1.5453507358,4.4337854611
400137271,0.1827575758,0.9996568850,1.2761830683,1.8445996993,1.0763321758,1.4124939431,2.3184859064,1.1666054807,1.5935610738,2.7193977639,1.0051212168,1.2914302737,1.8371121750,1.0841611327,1.4438875183,2.2463832587,1.1751861590,1.6168672103,2.8723192197
400137271,0.2130505051,1.0236047278,1.3092337583,1.9264450345,1.1054052206,1.4644019076,2.4349588640,1.1962075157,1.6694375302,3.0117726609,1.0303045021,1.3253506207,1.9582105901,1.1125986000,1.4771327989,2.4841034888,1.2088351687,1.7024748522,3.8688267223
400137271,0.2433434343,1.0478121724,1.3634761162,2.0593440342,1.1337753107,1.5392191123,2.5811234874,1.2330853286,1.7224213540,3.3623874441,1.0578946474,1.3760914222,2.3436637089,1.1427918794,1.5453507358,4.4337854611,1.2463527484,1.8656557633,3.4630433064
400137271,0.2736363636,1.0763321758,1.4124939431,2.3184859064,1.1666054807,1.5935610738,2.7193977639,1.2761830683,1.8445996993,4.2301332602,1.0841611327,1.4438875183,2.2463832587,1.1751861590,1.6168672103,2.8723192197,1.2914302737,1.8371121750,4.9875433070
400137271,0.3039292929,1.1054052206,1.4644019076,2.4349588640,1.1962075157,1.6694375302,3.0117726609,1.3092337583,1.9264450345,3.9554767976,1.1125986000,1.4771327989,2.4841034888,1.2088351687,1.7024748522,3.8688267223,1.3253506207,1.9582105901,7.0748257641
400137271,0.3342222222,1.1337753107,1.5392191123,2.5811234874,1.2330853286,1.7224213540,3.3623874441,1.3634761162,2.0593440342,5.3690732661,1.1427918794,1.5453507358,4.4337854611,1.2463527484,1.8656557633,3.4630433064,1.3760914222,2.3436637089,20.3602429071
400137271,0.3645151515,1.1666054807,1.5935610738,2.7193977639,1.2761830683,1.8445996993,4.2301332602,1.4124939431,2.3184859064,8.9196358188,1.1751861590,1.6168672103,2.8723192197,1.2914302737,1.8371121750,4.9875433070,1.4438875183,2.2463832587,13.5798056718
400137271,0.3948080808,1.1962075157,1.6694375302,3.0117726609,1.3092337583,1.9264450345,3.9554767976,1.4644019076,2.4349588640,8.6576857408,1.2088351687,1.7024748522,3.8688267223,1.3253506207,1.9582105901,7.0748257641,1.4771327989,2.4841034888,13.3776976062
400137271,0.4251010101,1.2330853286,1.7224213540,3.3623874441,1.3634761162,2.0593440342,5.3690732661,1.5392191123,2.5811234874,14.9553940012,1.2463527484,1.8656557633,3.4630433064,1.3760914222,2.3436637089,20.3602429071,1.5453507358,4.4337854611,156.7404329530
400137271,0.4553939394,1.2761830683,1.8445996993,4.2301332602,1.4124939431,2.3184859064,8.9196358188,1.5935610738,2.7193977639,28.0111113848,1.2914302737,1.8371121750,4.9875433070,1.4438875183,2.2463832587,13.5798056718,1.6168672103,2.8723192197,97.0768295542
400137271,0.4856868687,1.3092337583,1.9264450345,3.9554767976,1.4644019076,2.4349588640,8.6576857408,1.6694375302,3.0117726609,16.7165971592,1.3253506207,1.9582105901,7.0748257641,1.4771327989,2.4841034888,13.3776976062,1.7024748522,3.8688267223,106.9673455323
400137271,0.5159797980,1.3634761162,2.0593440342,5.3690732661,1.5392191123,2.5811234874,14.9553940012,1.7224213540,3.3623874441,23.6566758879,1.3760914222,2.3436637089,20.3602429071,1.5453507358,4.4337854611,156.7404329530,1.8656557633,3.4630433064,718.9062934523
400137271,0.5462727273,1.4124939431,2.3184859064,8.9196358188,1.5935610738,2.7193977639,28.0111113848,1.8445996993,4.2301332602,213.7938762507,1.4438875183,2.2463832587,13.5798056718,1.6168672103,2.8723192197,97.0768295542,1.8371121750,4.9875433070,941.8291370978
400137271,0.5765656566,1.4644019076,2.4349588640,8.6576857408,1.6694375302,3.0117726609,16.7165971592,1.9264450345,3.9554767976,75.6881845612,1.4771327989,2.4841034888,13.3776976062,1.7024748522,3.8688267223,106.9673455323,1.9582105901,7.0748257641,274.5501216541
400137271,0.6068585859,1.5392191123,2.5811234874,14.9553940012,1.7224213540,3.3623874441,23.6566758879,2.0593440342,5.3690732661,1425.3754900016,1.5453507358,4.4337854611,156.7404329530,1.8656557633,3.4630433064,718.9062934523,2.3436637089,20.3602429071,708.9508438454
400137271,0.6371515152,1.5935610738,2.7193977639,28.0111113848,1.8445996993,4.2301332602,213.7938762507,2.3184859064,8.9196358188,126.8544892139,1.6168672103,2.8723192197,97.0768295542,1.8371121750,4.9875433070,941.8291370978,2.2463832587,13.5798056718,916.4410573316
400137271,0.6674444444,1.6694375302,3.0117726609,16.7165971592,1.9264450345,3.9554767976,75.6881845612,2.4349588640,8.6576857408,412.1329226657,1.7024748522,3.8688267223,106.9673455323,1.9582105901,7.0748257641,274.5501216541,2.4841034888,13.3776976062,1420.0337592273
400137271,0.6977373737,1.7224213540,3.3623874441,23.6566758879,2.0593440342,5.3690732661,1425.3754900016,2.5811234874,14.9553940012,5362.9824620385,1.8656557633,3.4630433064,718.9062934523,2.3436637089,20.3602429071,708.9508438454,4.4337854611,156.7404329530,1795.4745504949
400137271,0.7280303030,1.8445996993,4.2301332602,213.7938762507,2.3184859064,8.9196358188,126.8544892139,2.7193977639,28.0111113848,536.0117962560,1.8371121750,4.9875433070,941.8291370978,2.2463832587,13.5798056718,916.4410573316,2.8723192197,97.0768295542,8955.3970393418
400137271,0.7583232323,1.9264450345,3.9554767976,75.6881845612,2.4349588640,8.6576857408,412.1329226657,3.0117726609,16.7165971592,777.7606719958,1.9582105901,7.0748257641,274.5501216541,2.4841034888,13.3776976062,1420.0337592273,3.8688267223,106.9673455323,2346.9266361418
400137271,0.7886161616,2.0593440342,5.3690732661,1425.3754900016,2.5811234874,14.9553940012,5362.9824620385,3.3623874441,23.6566758879,1255.5929418011,2.3436637089,20.3602429071,708.9508438454,4.4337854611,156.7404329530,1795.4745504949,3.4630433064,718.9062934523,2376.1894123691
400137271,0.8189090909,2.3184859064,8.9196358188,126.8544892139,2.7193977639,28.0111113848,536.0117962560,4.2301332602,213.7938762507,6867.7951801948,2.2463832587,13.5798056718,916.4410573316,2.8723192197,97.0768295542,8955.3970393418,4.9875433070,941.8291370978,11882.2076406266
400137271,0.8492020202,2.4349588640,8.6576857408,412.1329226657,3.0117726609,16.7165971592,777.7606719958,3.9554767976,75.6881845612,8563.5046649336,2.4841034888,13.3776976062,1420.0337592273,3.8688267223,106.9673455323,2346.9266361418,7.0748257641,274.5501216541,5662.7985916184
400137271,0.8794949495,2.5811234874,14.9553940012,5362.9824620385,3.3623874441,23.6566758879,1255.5929418011,5.3690732661,1425.3754900016,27775.8215274616,4.4337854611,156.7404329530,1795.4745504949,3.4630433064,718.9062934523,2376.1894123691,20.3602429071,708.9508438454,5022.1652084940
400137271,0.9097878788,2.7193977639,28.0111113848,536.0117962560,4.2301332602,213.7938762507,6867.7951801948,8.9196358188,126.8544892139,1702.8635405046,2.8723192197,97.0768295542,8955.3970393418,4.9875433070,941.8291370978,11882.2076406266,13.5798056718,916.4410573316,8871.4640212730
400137271,0.9400808081,3.0117726609,16.7165971592,777.7606719958,3.9554767976,75.6881845612,8563.5046649336,8.6576857408,412.1329226657,5514.3552878131,3.8688267223,106.9673455323,2346.9266361418,7.0748257641,274.5501216541,5662.7985916184,13.3776976062,1420.0337592273,11962.8379579524
400137271,0.9703737374,3.3623874441,23.6566758879,1255.5929418011,5.3690732661,1425.3754900016,27775.8215274616,14.9553940012,5362.9824620385,1472.3442459801,3.4630433064,718.9062934523,2376.1894123691,20.3602429071,708.9508438454,5022.1652084940,156.7404329530,1795.4745504949,8458.2891296146
400137271,1.0006666667,4.2301332602,213.7938762507,6867.7951801948,8.9196358188,126.8544892139,1702.8635405046,28.0111113848,536.0117962560,1961.3860224726,4.9875433070,941.8291370978,11882.2076406266,13.5798056718,916.4410573316,8871.4640212730,97.0768295542,8955.3970393418,9454.2846692073
400137271,1.0309595960,3.9554767976,75.6881845612,8563.5046649336,8.6576857408,412.1329226657,5514.3552878131,16.7165971592,777.7606719958,8698.7838290225,7.0748257641,274.5501216541,5662.7985916184,13.3776976062,1420.0337592273,11962.8379579524,106.9673455323,2346.9266361418,9951.8008859396
400137271,1.0612525253,5.3690732661,1425.3754900016,27775.8215274616,14.9553940012,5362.9824620385,1472.3442459801,23.6566758879,1255.5929418011,5988.6021781186,20.3602429071,708.9508438454,5022.1652084940,156.7404329530,1795.4745504949,8458.2891296146,718.9062934523,2376.1894123691,26410.7018736369
400137271,1.0915454545,8.9196358188,126.8544892139,1702.8635405046,28.0111113848,536.0117962560,1961.3860224726,213.7938762507,6867.7951801948,6433.9719455661,13.5798056718,916.4410573316,8871.4640212730,97.0768295542,8955.3970393418,9454.2846692073,941.8291370978,11882.2076406266,14629.8958201612
400137271,1.1218383838,8.6576857408,412.1329226657,5514.3552878131,16.7165971592,777.7606719958,8698.7838290225,75.6881845612,8563.5046649336,8538.9227327470,13.3776976062,1420.0337592273,11962.8379579524,106.9673455323,2346.9266361418,9951.8008859396,274.5501216541,5662.7985916184,13455.5260832337
400137271,1.1521313131,14.9553940012,5362.9824620385,1472.3442459801,23.6566758879,1255.5929418011,5988.6021781186,1425.3754900016,27775.8215274616,21238.2462942266,156.7404329530,1795.4745504949,8458.2891296146,718.9062934523,2376.1894123691,26410.7018736369,708.9508438454,5022.1652084940,30016.7045448619
400137271,1.1824242424,28.0111113848,536.0117962560,1961.3860224726,213.7938762507,6867.7951801948,6433.9719455661,126.8544892139,1702.8635405046,8179.6530015413,97.0768295542,8955.3970393418,9454.2846692073,941.8291370978,11882.2076406266,14629.8958201612,916.4410573316,8871.4640212730,18026.1229332706
400137271,1.2127171717,16.7165971592,777.7606719958,8698.7838290225,75.6881845612,8563.5046649336,8538.9227327470,412.1329226657,5514.3552878131,14063.7831556015,106.9673455323,2346.9266361418,9951.8008859396,274.5501216541,5662.7985916184,13455.5260832337,1420.0337592273,11962.8379579524,9893.7041314374
400137271,1.2430101010,23.6566758879,1255.5929418011,5988.6021781186,1425.3754900016,27775.8215274616,21238.2462942266,5362.9824620385,1472.3442459801,3826.9121805728,718.9062934523,2376.1894123691,26410.7018736369,708.9508438454,5022.1652084940,30016.7045448619,1795.4745504949,8458.2891296146,9656.0770720102
400137271,1.2733030303,213.7938762507,6867.7951801948,6433.9719455661,126.8544892139,1702.8635405046,8179.6530015413,536.0117962560,1961.3860224726,18245.2455036440,941.8291370978,11882.2076406266,14629.8958201612,916.4410573316,8871.4640212730,18026.1229332706,8955.3970393418,9454.2846692073,6966.1933933437
400137271,1.3035959596,75.6881845612,8563.5046649336,8538.9227327470,412.1329226657,5514.3552878131,14063.7831556015,777.7606719958,8698.7838290225,14078.1980669040,274.5501216541,5662.7985916184,13455.5260832337,1420.0337592273,11962.8379579524,9893.7041314374,2346.9266361418,9951.8008859396,48817.6921501235
400137271,1.3338888889,1425.3754900016,27775.8215274616,21238.2462942266,5362.9824620385,1472.3442459801,3826.9121805728,1255.5929418011,5988.6021781186,4284.2432114152,708.9508438454,5022.1652084940,30016.7045448619,1795.4745504949,8458.2891296146,9656.0770720102,2376.1894123691,26410.7018736369,25479.1743420174
400137271,1.3641818182,126.8544892139,1702.8635405046,8179.6530015413,536.0117962560,1961.3860224726,18245.2455036440,6867.7951801948,6433.9719455661,18360.3266316700,916.4410573316,8871.4640212730,18026.1229332706,8955.3970393418,9454.2846692073,6966.1933933437,11882.2076406266,14629.8958201612,16867.7247911933
400137271,1.3944747475,412.1329226657,5514.3552878131,14063.7831556015,777.7606719958,8698.7838290225,14078.1980669040,8563.5046649336,8538.9227327470,10286.3208990027,1420.0337592273,11962.8379579524,9893.7041314374,2346.9266361418,9951.8008859396,48817.6921501235,5662.7985916184,13455.5260832337,24554.9562857776
400137271,1.4247676768,5362.9824620385,1472.3442459801,3826.9121805728,1255.5929418011,5988.6021781186,4284.2432114152,27775.8215274616,21238.2462942266,7449.3892193030,1795.4745504949,8458.2891296146,9656.0770720102,2376.1894123691,26410.7018736369,25479.1743420174,5022.1652084940,30016.7045448619,15877.1939510583
400137271,1.4550606061,536.0117962560,1961.3860224726,18245.2455036440,6867.7951801948,6433.9719455661,18360.3266316700,1702.8635405046,8179.6530015413,4791.0956573447,8955.3970393418,9454.2846692073,6966.1933933437,11882.2076406266,14629.8958201612,16867.7247911933,8871.4640212730,18026.1229332706,17846.5197491231
400137271,1.4853535354,777.7606719958,8698.7838290225,14078.1980669040,8563.5046649336,8538.9227327470,10286.3208990027,5514.3552878131,14063.7831556015,24285.3954268047,2346.9266361418,9951.8008859396,48817.6921501235,5662.7985916184,13455.5260832337,24554.9562857776,11962.8379579524,9893.7041314374,11206.8645998238
400137271,1.5156464646,1255.5929418011,5988.6021781186,4284.2432114152,27775.8215274616,21238.2462942266,7449.3892193030,1472.3442459801,3826.9121805728,36764.8757489112,2376.1894123691,26410.7018736369,25479.1743420174,5022.1652084940,30016.7045448619,15877.1939510583,8458.2891296146,9656.0770720102,13008.7916539748
400137271,1.5459393939,6867.7951801948,6433.9719455661,18360.3266316700,1702.8635405046,8179.6530015413,4791.0956573447,1961.3860224726,18245.2455036440,37892.3226967301,11882.2076406266,14629.8958201612,16867.7247911933,8871.4640212730,18026.1229332706,17846.5197491231,9454.2846692073,6966.1933933437,17484.5594673729
400137271,1.5762323232,8563.5046649336,8538.9227327470,10286.3208990027,5514.3552878131,14063.7831556015,24285.3954268047,8698.7838290225,14078.1980669040,10150.9211343499,5662.7985916184,13455.5260832337,24554.9562857776,11962.8379579524,9893.7041314374,11206.8645998238,9951.8008859396,48817.6921501235,21222.7571916757
